OBJECTID,WD19CD,WD19NM,WD19NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
4777,E05010430,Stephenson, ,430247,515139,-1.53413,54.53064,1779587.99232483,6265.13936239137,eed24439-8e3e-4a7f-9db4-94392fd129ea
4778,E05010431,Whinfield, ,430928,517005,-1.52341,54.54737,1144755.93327332,5501.64665099706,3281d3e1-0c6a-4034-b641-ab0c048aa372
4779,E05010458,Abbey, ,458106,307312,-1.14234,52.66044,5943589.15219116,13518.2399491915,912c9da3-7006-4a65-9b2f-fa21ee3f1153
4780,E05010459,Aylestone, ,457450,301025,-1.15313,52.604,3811402.2568512,11080.909042739,1688bec0-47db-4636-b042-d865fb806a58
4781,E05010460,Beaumont Leys, ,456830,308151,-1.16106,52.66812,9146445.19015503,17878.6367049433,61d4f429-b642-47d5-bbba-9f71c3dbaccb
4782,E05010461,Belgrave, ,459778,305751,-1.1179,52.64623,2032589.65097046,7820.82278007609,97bd33f4-1316-43c1-af72-b120825733bb
4783,E05010462,Braunstone Park & Rowley Fields, ,456613,302819,-1.16518,52.62021,4761766.83709717,10602.244401655,7d1dcb85-3f45-446a-b82d-521b1872466c
4784,E05010463,Castle, ,459276,303359,-1.12575,52.62478,3761730.67053223,10609.1306407135,33c096b1-8c18-4fb9-a96f-20cf88bae758
4785,E05010464,Evington, ,462834,303534,-1.07316,52.62595,5049094.80819702,10616.4204075904,be1ab557-795b-4bcd-8b4f-55656649daba
4786,E05010465,Eyres Monsell, ,457685,299371,-1.14994,52.5891,2319829.35017395,8577.28299212384,1261f096-74d6-41a2-b3e1-01e4739e99f3
4787,E05010466,Fosse, ,457542,305149,-1.15105,52.64106,1770897.98339844,6572.19711940622,f5385a97-03db-434e-8621-c85671c15821
4788,E05010467,Humberstone & Hamilton, ,463176,306626,-1.06752,52.65371,4171318.7117157,10422.3490198891,e463065e-4616-4598-a80c-c8e9df3a9f7e
4789,E05010468,Knighton, ,460159,301369,-1.11307,52.60679,4181073.24819946,10146.3931251267,8ddf3668-af50-4c5e-837a-67dcffda6ffc
4790,E05010469,North Evington, ,460780,305050,-1.10322,52.63981,2206164.2696228,7527.80323994578,990c7abb-ecf7-41de-888d-c9109c01a35b
4791,E05010470,Rushey Mead, ,460182,307442,-1.11162,52.66138,3705967.73976135,9331.51580573177,21e7237c-22dd-456c-9da1-3ac5dbd53adf
4792,E05010471,Saffron, ,458477,302659,-1.13768,52.61857,2770150.94166565,10264.6953010648,14c0a9b4-5b6f-4478-b43c-f1c1e7ddac74
4793,E05010472,Spinney Hills, ,461205,303824,-1.09717,52.62875,1416165.72964478,6123.81912210262,6188b9fa-52ae-4ef0-8813-b56fa37641a9
4794,E05010473,Stoneygate, ,460506,303226,-1.10761,52.62345,1839805.6374054,7079.79763722222,54da346f-2d83-4c68-8ff0-0cd121bcdf54
4795,E05010474,Thurncourt, ,463501,304900,-1.06305,52.63815,2114517.46688843,7279.17196494306,1eaabdc2-da21-430a-bd99-a6499c81e3fc
4796,E05010475,Troon, ,461988,307013,-1.08501,52.65732,4006827.73634338,11545.1161884498,9069da7f-f09c-48eb-ac2d-e6ea1d2bd9ba
4797,E05010476,Westcotes, ,457518,303720,-1.15166,52.62821,1472307.7093811,4907.9248643183,9592c223-0b7d-4424-b1c1-1e9f5cdf8930
4798,E05010477,Western, ,455192,304960,-1.18581,52.6396,5776131.44773865,13413.426524739,619245ff-acab-482c-beab-b10415b39605
4799,E05010478,Wycliffe, ,459735,304683,-1.11873,52.63663,1084297.6525116,5637.15498212015,228ceb7b-14ed-425a-b558-9901968975d6
4800,E05010479,Barlaston, ,390566,339540,-2.14186,52.95316,12193107.0376587,19645.3078793005,5a1caee2-23b0-4977-aadc-18aab20aff27
4801,E05010480,Baswich, ,394442,322068,-2.08386,52.79616,2325734.61306,6589.55426699406,ef9febf8-849d-4808-92c6-b47a985eb136
4802,E05010481,Common, ,392070,325093,-2.11911,52.82332,2038965.07235718,7011.37287355802,27b90a15-0c0e-4ffb-a7d8-f7929a0877b8
4803,E05010482,Coton, ,392764,324236,-2.1088,52.81563,2111782.18718719,10522.4869975907,8d76dcf5-a256-440f-b40a-50b99d2d30e1
4804,E05010483,Doxey & Castletown, ,390507,323880,-2.14227,52.81239,2072615.85405731,7601.62470357896,b34da791-9d2b-4c4a-9046-6ec795b5be1c
4805,E05010484,Eccleshall, ,381723,330564,-2.27297,52.87225,124510522.72036,70795.4035169704,ffeae55b-5bef-4031-9840-cd0c78844a49
4806,E05010485,Forebridge, ,393106,322767,-2.10369,52.80242,2081945.24178314,6997.97708166093,a43d448e-7866-4a9c-bdab-679ae8cafe17
4807,E05010486,Fulford, ,394701,338957,-2.0803,52.94798,14905766.42939,21331.9509547558,9b466b8c-aa26-44a0-aabf-9cb4ebf8b5f0
4808,E05010487,Gnosall & Woodseaves, ,379454,321431,-2.3061,52.79006,78407943.9510651,48602.8302695628,21b0f5d4-a7c6-4263-8ed6-d20138c7241f
4809,E05010488,Haywood & Hixon, ,400884,322297,-1.98832,52.79825,35952838.6834488,34069.8993850213,bf53cfff-01a4-4967-a5b6-efc4317f3b1e
4810,E05010489,Highfields & Western Downs, ,390834,321629,-2.13736,52.79216,1485074.30266571,6351.40089728405,330d22dd-d47a-4f8b-9386-06931376fdfc
4811,E05010490,Holmcroft, ,390891,324977,-2.13661,52.82226,2527736.93009186,8114.9182773371,45863dce-6c55-452f-a92f-1cb84498c0a7
4812,E05010491,Littleworth, ,393720,323527,-2.0946,52.80926,1640316.6059494,5846.01281318813,07720ce6-0793-4c17-a824-8c330935487d
4813,E05010492,Manor, ,392049,320868,-2.11932,52.78534,1933585.95902252,7957.78742184699,c40c18fa-144a-4458-b9e5-d25751ff7c81
4814,E05010493,Milford, ,396803,318839,-2.04881,52.76715,13945686.2676773,21129.0241268546,d7222dc2-ebb0-435e-8a1b-429d72727efc
4815,E05010494,Milwich, ,396342,328843,-2.05576,52.85708,124341857.48632,71098.0218422368,f2702db5-3a25-49c7-8e0d-7df110a212e4
4816,E05010495,Penkside, ,392892,320629,-2.10682,52.7832,2037740.45812225,8432.2360025226,2283cadd-9dfd-4da9-91fc-f090f3240e40
4817,E05010496,Rowley, ,390553,322340,-2.14155,52.79855,3083234.78649139,9127.97550692072,53bd4e3d-fd22-4054-97e7-5cb30dba90e3
4818,E05010497,St Michael's & Stonefield, ,391116,333766,-2.13351,52.90127,5373966.58586884,12706.0271481237,4ef5d661-f442-4426-90d6-5efa7dbc205f
4819,E05010498,Seighford & Church Eaton, ,386853,320945,-2.19637,52.78593,97074080.8471909,73650.3458711561,d0875731-712d-4841-bf97-f85ec7d19f9b
4820,E05010499,Swynnerton & Oulton, ,391409,337331,-2.12925,52.93332,62398483.504982,53969.2644760246,1e919dec-b057-4404-8b16-c50f3e89f778
4821,E05010500,Walton, ,390228,332586,-2.14668,52.89065,3522112.86611176,11606.3833292534,0ee181fd-1b12-4ff2-835c-1bf1dea2124b
4822,E05010501,Weeping Cross & Wildwood, ,394478,320979,-2.08331,52.78637,2207135.03128052,7302.71811386825,05bc4c4b-f694-4e5e-8735-e064c3302dfb
4823,E05010502,Aggborough & Spennells, ,384090,275082,-2.23511,52.37356,2779424.34911346,9119.65547217352,d15c4d07-a39f-47a8-84e4-5a2247c82e19
4824,E05010503,Areley Kings & Riverside, ,380276,270875,-2.29089,52.33561,4076389.47776794,10589.2739776312,e2593e21-2dd5-436a-bb6b-09cc5854813d
4825,E05010504,Bewdley & Rock, ,375103,272837,-2.36695,52.35304,57179075.3746567,52174.2141774466,e48f4541-9233-4e1e-8802-5b3ddc4650b2
4826,E05010505,Blakebrook & Habberley South, ,382276,276346,-2.26183,52.38486,2823008.20654297,9147.97638811641,04b10901-7577-4925-aeb2-db0542e93c9d
