BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Trust Livewire,45431,Servicing Contracts,200150,01/07/2022,5100501454,3899.79,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Trust Livewire,45431,Servicing Contracts,200150,01/07/2022,5100501460,578.13,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Trust Livewire,45431,Servicing Contracts,200150,01/07/2022,5100501462,2945.94,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Trust Cultural,45432,Servicing Contracts,200150,01/07/2022,5100501465,956.93,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Trust Cultural,45432,Servicing Contracts,200150,01/07/2022,5100501466,1264.86,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,TIME SQ. NEW COUNCIL OFFICES UPRN 28015,45259,Servicing Contracts,200150,01/07/2022,5100501470,10401.58,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,5 Tanning Court,45091,Servicing Contracts,200150,01/07/2022,5100501476,884.49,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Bank Park New Pavillion & Caf,45258,Servicing Contracts,200150,01/07/2022,5100501481,572.97,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Burtonwood Community Centre,45075,Servicing Contracts,200150,01/07/2022,5100501486,546.78,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Crosfields Rec Ground,45213,Servicing Contracts,200150,01/07/2022,5100501492,558.55,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,East Annexe & Drill Hall,45169,Servicing Contracts,200150,01/07/2022,5100501497,1002.72,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,UPRN 15268 Hatters Row,45232,Servicing Contracts,200150,01/07/2022,5100501500,693.03,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Orford Community Cafe Hub,45074,Servicing Contracts,200150,01/07/2022,5100501515,741.72,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Orford Youth Centre - Capesthorne Road,45073,Servicing Contracts,200150,01/07/2022,5100501517,690.94,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Padgate/Fearnhead Cross Youth Centre,45080,Servicing Contracts,200150,01/07/2022,5100501519,512.66,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Padgate House,45061,Servicing Contracts,200150,01/07/2022,5100501520,903.02,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,St Werburgh's Social Services Offices,45160,Servicing Contracts,200150,01/07/2022,5100501539,1342.72,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,TIME SQ. NEW RETAIL MARKET UPRN 28016,45260,Servicing Contracts,200150,01/07/2022,5100501541,6613.91,Equans Services Ltd,118813,2022,July
